,NEPA_DOC_NBR,PROJECT NAME,LMU – REGION,REGION_ID,DISTRICT_ID,LMU (ACTUAL),PROJECT CREATED,INITIATION DATE,INITIATION FY,DECISION SIGNED,SIGNED FY,DECISION TYPE,APPEALED OR OBJECTED?,NO COMMENTS OR ONLY SUPPORT?,LITIGATED?,ELAPSED DAYS,HF Fuels management – purpose,TM Forest products – purpose,VM Vegetation management (non-forest products) – purpose,NEPA_SIGNED_DATE,REGION,DATE_COMP_MIN,DATE_COMP_MAX,PROJECT_DUR_CURRENT,PERCENT_PROJ_COMP,DATE_AWARD_MIN,DATE_AWARD_MAX,FY_AWARD_MIN,FY_AWARD_MAX,FY_PLAN_MIN,FY_PLAN_MAX,FY_COMP_MIN,FY_COMP_MAX,PROJECT_DUR_PLAN_YR,ACT_AREA_DIFF,TOT_AREA_PLAN,TOT_AREA_COMP,NBR_ACTIVITIES,FIRE,RANGE,REC,TIMBER,SAW,WILDLIFE,RESTORE,MISC,ENGI,RICHNESS_TEST,PLAN_TO_AWARD_AVE,PLAN_TO_COMP_AVE,FIRST_ACTIVITY,LAST_ACTIVITY,PROJ_RICHNESS,PROJ_DIVERSE,PROJ_EVENNESS,AREA_RICHNESS,AREA_DIVERSE,AREA_EVENNESS,TOTAL_PROJECT_DAYS,NEPA_TO_LAST_ACT,NEPA_TO_FIRST_ACT,NEPA_TO_CONTRACT,PROJ_COMP,NEPA_COMP,PROJ_INIT,PROJ_AWARDED,ASSESSMENT_TIME,IMPLEMENTATION_TIME,NEPA_TO_FIRST_ACT_MAX,NEPA_TO_CONTRACT_MAX,TOTAL_PROJECT_DAYS_MAX,PROJECT_CREATED,NEPA_COMP2
0,10045,White Rocks Vegetation Management,R8,8.0,80811.0,Eastern Divide Ranger District (11080811),01/07/2005,2010-04-23,2010.0,2012-01-17,2012.0,DN,0.0,0.0,0.0,634.0,0.0,1.0,1.0,2012-01-17,8.0,2013-08-13,2019-09-30,2239.0,1.0,2013-08-13,2019-09-30,2013.0,2019.0,2013.0,2019.0,2013.0,2019.0,6.0,-0.041304347826087,1168.9,1167.0,46.0,0.0,6.0,1.0,39.0,0.0,0.0,0.0,0.0,0.0,3.0,0.2608695652173913,0.2608695652173913,Tree Release and Weed,Sign Maintenance,3.0,0.4888705048711702,0.4449891102746054,7.0,0.6209201320421939,0.3190898266004902,3447.0,2813.0,574.0,574.0,True,True,True,True,634,2813,574,574,3447,2005-01-07,True
1,10083,Concow Hazardous Fuels Reduction Project,R5,5.0,51103.0,Feather River Ranger District (11051103),01/20/2005,2009-09-30,2009.0,2011-07-01,2011.0,ROD,0.0,1.0,0.0,639.0,1.0,1.0,1.0,2011-07-01,5.0,2011-09-09,2018-01-09,2314.0,0.8676470588235294,2011-09-06,2017-10-01,2011.0,2018.0,2011.0,2019.0,2011.0,2018.0,8.0,0.0222222222222222,2489.2,2265.0,68.0,51.0,8.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,0.3333333333333333,1.0338983050847457,Burning of Piled Material,Commercial Thin,3.0,0.735189164023088,0.6691980160848067,34.0,3.3882061397825938,0.9608223878786172,3023.0,2384.0,70.0,67.0,False,True,True,True,639,2384,70,67,3023,2005-01-20,True
2,10523,Middle Fork Whitetop Project,R5,5.0,51101.0,Beckwourth Ranger District (11051101),03/16/2005,2009-02-18,2009.0,2010-05-26,2010.0,DN,0.0,0.0,0.0,462.0,0.0,0.0,1.0,2010-05-26,5.0,2012-07-19,2021-07-26,3294.0,0.9444444444444444,2012-07-19,2021-07-22,2012.0,2021.0,2012.0,2021.0,2012.0,2021.0,9.0,-2.757142857142857,862.6000000000001,738.1,36.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0294117647058823,0.0294117647058823,Invasives - Pesticide Application,Invasives - Pesticide Application,1.0,-0.0,,30.0,3.352469878269462,0.9856734267598194,4541.0,4079.0,785.0,785.0,False,True,True,True,462,4079,785,785,4541,2005-03-16,True
3,12727,Interface Fuels - Phase II,R1,1.0,11705.0,Lochsa Ranger District (11010505),06/30/2005,2009-01-27,2009.0,2009-09-30,2009.0,DN,0.0,0.0,0.0,246.0,1.0,0.0,1.0,2009-09-30,1.0,2010-09-01,2021-09-01,4018.0,0.872,2010-09-15,2021-09-01,2010.0,2021.0,2010.0,2026.0,2010.0,2021.0,16.0,0.0082191780821917,3226.9,2878.7,250.0,86.0,0.0,0.0,164.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2477064220183486,Post Treatment Vegetation Monitoring,Stocking Survey,2.0,0.6436530712983656,0.9285950940151024,29.0,3.008984280125731,0.8935907125623167,4600.0,4354.0,336.0,350.0,False,True,True,True,246,4354,336,350,4600,2005-06-30,True
4,14625,Landscape Analysis Unit 8,R8,8.0,80704.0,Homochitto Ranger District (11080704),12/21/2005,2010-05-07,2010.0,2012-06-21,2012.0,DN,1.0,0.0,0.0,776.0,0.0,1.0,1.0,2013-01-10,8.0,2014-09-25,2022-02-24,2709.0,0.6686046511627907,2014-07-16,2022-02-24,2014.0,2022.0,2014.0,2027.0,2014.0,2022.0,13.0,-0.8766423357664234,7793.1,6204.5,172.0,0.0,0.0,0.0,162.0,0.0,10.0,0.0,0.0,0.0,2.0,0.145985401459854,1.4,Stocking Survey,Tree Release and Weed,2.0,0.2218173998507397,0.3200148627475466,6.0,0.9479891622749074,0.5290828253210406,4311.0,3535.0,826.0,755.0,False,True,True,True,776,3535,826,755,4311,2005-12-21,True
5,14650,Lost Creek Vegetation Managment,R4,4.0,40802.0,Fremont River Ranger District  (11040802),12/22/2005,2009-01-28,2009.0,2009-03-26,2009.0,DM,0.0,0.0,0.0,57.0,0.0,1.0,1.0,2009-03-26,4.0,2011-09-28,2011-09-28,0.0,0.125,2011-09-28,2011-09-28,2011.0,2011.0,2011.0,2028.0,2011.0,2011.0,17.0,0.0,798.0,230.0,8.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,Insect Control,"Salvage Cut (intermediate treatment, not regeneration)",3.0,0.7356219397587946,0.6695919455357792,0.0,0.0,-0.0,973.0,916.0,916.0,916.0,False,True,True,True,57,916,916,916,973,2005-12-22,True
6,14704,Power Fire Reforestation,R5,5.0,50351.0,Amador Ranger District (11050351),12/22/2005,2014-04-30,2014.0,2017-12-20,2018.0,ROD,0.0,0.0,0.0,1330.0,0.0,0.0,1.0,2017-12-20,5.0,2018-05-01,2021-05-06,1101.0,0.6677524429967426,2018-05-01,2021-05-06,2018.0,2021.0,2017.0,2021.0,2018.0,2021.0,4.0,0.0,6197.0,6067.0,307.0,19.0,0.0,0.0,288.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0066225165562913,0.0097560975609756,Tree Release and Weed,Tree Release and Weed,2.0,0.2321345264689079,0.3348993301558013,96.0,4.404023052613352,0.9648744722950406,2563.0,1233.0,132.0,132.0,False,True,True,True,1330,1233,132,132,2563,2005-12-22,True
7,15585,Magic Sky Fuels Reduction Project,R2,2.0,21005.0,Canyon Lakes Ranger District (11021005),03/23/2006,2010-03-12,2010.0,2011-09-06,2011.0,DN,0.0,1.0,0.0,543.0,1.0,0.0,1.0,2011-09-06,2.0,2014-09-15,2021-05-10,2429.0,0.5301204819277109,2014-09-15,2021-05-10,2014.0,2021.0,2014.0,2023.0,2014.0,2021.0,9.0,-1.7142857142857142,5273.0,4798.0,83.0,58.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,2.0,0.2207792207792207,0.7045454545454546,Burning of Piled Material,Burning of Piled Material,2.0,0.6118816893219312,0.8827586787955116,22.0,3.0699340755249853,0.9931711135800166,4077.0,3534.0,1105.0,1105.0,False,True,True,True,543,3534,1105,1105,4077,2006-03-23,True
8,16052,Big Grizzly Fuels Reduction Project,R5,5.0,50353.0,Georgetown Ranger District (11050353),03/30/2006,2009-03-11,2009.0,2010-06-11,2010.0,ROD,1.0,0.0,0.0,457.0,1.0,0.0,1.0,2010-06-11,5.0,2011-05-03,2018-12-12,2780.0,0.9662162162162162,2010-09-28,2018-12-12,2010.0,2019.0,2010.0,2019.0,2011.0,2019.0,9.0,-0.0454545454545454,16228.0,15610.0,296.0,139.0,0.0,0.0,157.0,0.0,0.0,0.0,0.0,0.0,2.0,0.7692307692307693,2.8811188811188813,Commercial Thin,Burning of Piled Material,2.0,0.6912970619428087,0.9973308430460008,91.0,4.246450351765864,0.9413838639024352,3563.0,3106.0,326.0,109.0,False,True,True,True,457,3106,326,109,3563,2006-03-30,True
9,16145,05-183 - Eastside Forest Health - Five Years,R8,8.0,80306.0,Chattooga River Ranger District (11080306),04/07/2006,2009-03-20,2009.0,2010-12-30,2011.0,DN,0.0,0.0,0.0,650.0,0.0,0.0,1.0,2010-12-30,8.0,2010-12-30,2010-12-30,0.0,0.1052631578947368,2012-09-11,2021-09-27,2012.0,2021.0,2011.0,2025.0,2011.0,2011.0,14.0,-0.15625,2568.8,1567.7,114.0,0.0,0.0,0.0,105.0,0.0,9.0,0.0,0.0,0.0,2.0,0.8125,0.0,TES and Sensitive Species Activities,Commercial Thin,2.0,0.276190922407075,0.3984592740952357,9.0,2.19722457733622,1.0,650.0,0.0,0.0,621.0,False,True,True,True,650,4208,4208,621,650,2006-04-07,True
