NEPA_DOC_NBR,NEPA_SIGNED_DATE,REGION,DATE_COMP_MIN,DATE_COMP_MAX,PROJECT_DUR_CURRENT,PERCENT_PROJ_COMP,DATE_AWARD_MIN,DATE_AWARD_MAX,FY_AWARD_MIN,FY_AWARD_MAX,FY_PLAN_MIN,FY_PLAN_MAX,FY_COMP_MIN,FY_COMP_MAX,PROJECT_DUR_PLAN_YR,ACT_AREA_DIFF,TOT_AREA_PLAN,TOT_AREA_COMP,NBR_ACTIVITIES,FIRE,RANGE,REC,TIMBER,SAW,WILDLIFE,RESTORE,MISC,ENGI,RICHNESS_TEST,PLAN_TO_AWARD_AVE,PLAN_TO_COMP_AVE,FIRST_ACTIVITY,LAST_ACTIVITY,PROJ_RICHNESS,PROJ_DIVERSE,PROJ_EVENNESS,AREA_RICHNESS,AREA_DIVERSE,AREA_EVENNESS
0300551002,2007-05-01,5.0,,,,0.0,,,,,2007,2007,,,0,,318.0,0.0,13,13,0,0,0,0,0,0,0,0,1,,,Compacting/Crushing of Fuels,Compacting/Crushing of Fuels,1,-0.0,,2,0.6931471805599453,1.0
10029,2008-05-06,8.0,2010-08-16,2016-09-08,2215.0,0.5384615384615384,2010-08-16,2016-09-08,2010.0,2016.0,2008,2016,2010.0,2016.0,8,-0.003999999999999999,103.4,95.3,26,0,26,0,0,0,0,0,0,0,1,0.52,0.0,Invasives - Pesticide Application,Invasives - Pesticide Application,1,-0.0,,3,1.0986122886681096,0.9999999999999998
10031,2009-07-17,8.0,2011-07-15,2019-04-23,2839.0,0.6086956521739131,2010-08-15,2019-04-23,2010.0,2019.0,2010,2016,2011.0,2019.0,6,-8.244444444444444,2623.0,2216.0,46,4,0,0,0,0,38,4,0,0,3,0.1111111111111111,1.6785714285714286,Wildlife Habitat Regeneration cut,Wildlife Habitat Mechanical treatment,3,0.5825842452160127,0.5302910328104031,1,-0.0,
10045,2012-01-17,8.0,2013-08-13,2019-09-30,2239.0,1.0,2013-08-13,2019-09-30,2013.0,2019.0,2013,2019,2013.0,2019.0,6,-0.04130434782608708,1168.9,1167.0,46,0,6,1,39,0,0,0,0,0,3,0.2608695652173913,0.2608695652173913,Tree Release and Weed,Sign Maintenance,3,0.48887050487117023,0.44498911027460547,7,0.6209201320421939,0.3190898266004902
10051,2008-01-25,6.0,2009-06-08,2020-08-24,4095.0,0.9308176100628931,2008-11-05,2020-08-24,2009.0,2020.0,2008,2020,2009.0,2020.0,12,-0.009554140127388533,2629.6000000000004,2626.1000000000004,159,94,1,0,59,1,3,0,0,1,6,1.4458598726114649,1.9391891891891893,Post Treatment Exam Fuels Mgt ,Post Treatment Exam Fuels Mgt ,6,0.8491541670641175,0.4739219642187571,3,0.5694958066984153,0.5183774226563923
1006,2009-10-16,5.0,2010-08-09,2021-11-10,4111.0,0.3058823529411765,2010-08-02,2021-11-10,2010.0,2022.0,2010,2023,2010.0,2022.0,13,-0.9811320754716981,6630.0,1858.0,170,83,7,0,80,0,0,0,0,0,3,0.5660377358490566,0.6730769230769231,Precommercial Thin,Rearrangement of Fuels,3,0.8361086002007598,0.7610588456227871,74,4.101768507666839,0.9529987160610689
10064,2007-01-24,8.0,2008-08-18,2014-07-29,2171.0,0.8222222222222222,2008-08-18,2014-07-29,2008.0,2014.0,2008,2016,2008.0,2014.0,8,0.0,810.0,684.0,45,0,0,0,33,0,12,0,0,0,2,0.02702702702702703,0.02702702702702703,Certification of Natural Regeneration with Site Prep,Wildlife Habitat Seeding and planting,2,0.5799151714181009,0.8366407419411673,4,1.3624474851916286,0.982798115178801
10079,2007-02-23,4.0,2009-05-13,2019-12-01,3854.0,0.4444444444444444,2009-04-13,2019-12-01,2009.0,2020.0,2009,2025,2009.0,2020.0,16,0.375,2705.0,1784.0,18,5,0,0,13,0,0,0,0,0,2,0.875,3.0,Burning of Piled Material,Plant Trees,2,0.5908422462755826,0.8524051786494786,3,0.900908873225472,0.820042596026009
10083,2011-07-01,5.0,2011-09-09,2018-01-09,2314.0,0.8676470588235294,2011-09-06,2017-10-01,2011.0,2018.0,2011,2019,2011.0,2018.0,8,0.022222222222222227,2489.2,2265.0,68,51,8,0,9,0,0,0,0,0,3,0.3333333333333333,1.0338983050847457,Burning of Piled Material,Commercial Thin,3,0.735189164023088,0.6691980160848067,34,3.3882061397825938,0.9608223878786173
10130,2009-01-15,6.0,2009-11-19,2019-07-31,3541.0,0.8633720930232558,2009-09-09,2018-12-16,2009.0,2019.0,2009,2026,2010.0,2019.0,17,0.0033003300330033004,13990.1,12309.1,344,140,3,0,146,55,0,0,0,0,4,0.16831683168316833,1.1414141414141414,Burning of Piled Material,Burning of Piled Material,4,1.064084482988195,0.7675747033469827,134,4.755605495983757,0.9709597884421252
10132,2007-03-09,6.0,2019-08-08,2020-06-09,306.0,1.0,2019-08-08,2020-06-09,2019.0,2020.0,2019,2020,2019.0,2020.0,1,-0.30000000000000004,1.0,0.4,2,0,2,0,0,0,0,0,0,0,1,0.0,0.0,Invasives - Pesticide Application,Invasives - Mechanical /Physical,1,-0.0,,2,0.6931471805599453,1.0
10151,2007-03-03,8.0,2010-09-07,2018-06-01,2824.0,0.6363636363636364,2010-09-07,2018-06-01,2010.0,2018.0,2010,2020,2010.0,2018.0,10,0.0,4396.0,4004.0,22,0,0,0,5,2,15,0,0,0,3,0.07142857142857142,0.14285714285714285,Commercial Thin,T&ES structural habitat improvement,3,0.8158498651845185,0.7426185503291656,1,-0.0,
10163,2007-08-01,2.0,2011-09-01,2011-09-01,0.0,1.0,2011-09-01,2011-09-01,2011.0,2011.0,2011,2011,2011.0,2011.0,0,0.0,121.0,121.0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.0,Certification of Natural Regeneration without Site Prep,Certification of Natural Regeneration without Site Prep,1,-0.0,,0,0.0,-0.0
10212,2009-07-24,5.0,2009-08-04,2021-01-23,4190.0,0.9052132701421801,2009-08-04,2021-01-23,2009.0,2021.0,2009,2021,2009.0,2021.0,12,0.0,1405.7000000000003,1214.5,211,130,0,0,72,0,0,0,9,0,3,0.38190954773869346,0.8900523560209425,Burning of Piled Material,Improvement Cut,3,0.7998464731708168,0.7280516351592077,74,4.232770717682593,0.9834355721910093
10237,2007-08-02,5.0,2007-12-11,2021-07-16,4966.0,0.8152173913043478,2007-09-04,2021-07-16,2007.0,2021.0,2006,2021,2008.0,2021.0,15,-6.429878048780488,6250.4,4620.9,184,86,12,0,78,0,0,0,8,0,4,0.17682926829268292,0.8866666666666667,Burning of Piled Material,Invasives - Mechanical /Physical,4,1.0336772353780916,0.7456405106798933,31,2.9879259309648027,0.8701039791476972
