FOREST_ID,NEPA_DOC_NBR,PROJECT NAME,LMU (ACTUAL),LMU – REGION,LMU – FOREST,LMU – DISTRICT,PROJECT STATUS,PROJECT CREATED,CREATED FY,DECISION ID,DECISION NAME,INITIATION DATE,INITIATION FY,DECISION SIGNED,SIGNED FY,SIGNER LAST NAME,SIGNER FIRST NAME,SIGNER TITLE,DECISION TYPE,DECISION APPEAL RULE,PROJECT NOTICE AND COMMENT REGULATION,APPEALED OR OBJECTED?,NO COMMENTS OR ONLY SUPPORT?,LITIGATED?,FC Facility management – purpose,FR Research – purpose,HF Fuels management – purpose,HR Heritage resource management – purpose,LM Land ownership management – purpose,LW Land acquisition – purpose,MG Minerals and geology – purpose,PN Land management planning – purpose,RD Road management – purpose,RG Grazing management – purpose,"RO Regulations, directives, orders – purpose",RU Special area management – purpose,RW Recreation management – purpose,SU Special use management – purpose,TM Forest products – purpose,VM Vegetation management (non-forest products) – purpose,"WF Wildlife, fish, rare plants – purpose",WM Water management – purpose,"FACTS Activity (0,1)",UNIQUE PROJECT?,ELAPSED DAYS,UNIQUE DECISION?,ongoing,DISTRICT_ID,REGION_ID,DECISION_LEVEL,RegionName,forest,calendarYearSigned,calendarYearInitiated,numact,H,projarea,footprint,E,NEPA_SIGNED_DATE,REGION,DATE_COMP_MIN,DATE_COMP_MAX,PROJECT_DUR_CURRENT,PERCENT_PROJ_COMP,DATE_AWARD_MIN,DATE_AWARD_MAX,FY_AWARD_MIN,FY_AWARD_MAX,FY_PLAN_MIN,FY_PLAN_MAX,FY_COMP_MIN,FY_COMP_MAX,PROJECT_DUR_PLAN_YR,ACT_AREA_DIFF,TOT_AREA_PLAN,TOT_AREA_COMP,NBR_ACTIVITIES,FIRE,RANGE,REC,TIMBER,SAW,WILDLIFE,RESTORE,MISC,ENGI,RICHNESS_TEST,PLAN_TO_AWARD_AVE,PLAN_TO_COMP_AVE,FIRST_ACTIVITY,LAST_ACTIVITY,FIRE_AVE_AREA,RANGE_AVE_AREA,REC_AVE_AREA,TIMBER_AVE_AREA,SAW_AVE_AREA,WILDLIFE_AVE_AREA,RESTORE_AVE_AREA,MISC_AVE_AREA,ENGI_AVE_AREA,PROJ_RICHNESS,PROJ_DIVERSE,PROJ_EVENNESS,AREA_RICHNESS,AREA_DIVERSE,AREA_EVENNESS,TOTAL_PROJECT_DAYS,TOTAL_PROJECT_PLAN_FY,NEPA_TO_LAST_ACT,NEPA_TO_FIRST_ACT,NEPA_TO_CONTRACT
102.0,47722,Supplemental EIS - BDNF Land & Resource Management Plan to comply with District of Mont Court Order,Beaverhead-Deerlodge National Forest All Units (11010200),R1,BDNF,Beaverhead-Deerlodge National Forest All Units (11010200),Complete,09/14/2015,2015.0,46316.0,Supplemental EIS - BDNF Land & Resource Management Plan to comply with District of Mont Court Order,2015-09-11,2015.0,2016-10-11,2017.0,Glossa,Melany,Forest Supervisor,ROD,,219 (2012),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,396.0,,,10200.0,1.0,National Forest/Grassland,Northern,Beaverhead-Deerlodge,2016.0,2015.0,1.0,0.0,25991002.8818972,15529198.8444772,0.0,2016-10-11,1.0,2020-05-22,2020-10-01,132.0,1.0,2020-05-22,2020-10-01,2020.0,2021.0,2019.0,2021.0,2020.0,2021.0,2.0,-41.47552447552447,6677.6,746.6,143.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0069930069930069,0.0069930069930069,Invasives - Pesticide Application,Invasives - Pesticide Application,,46.69650349650349,,,,,,,,1.0,-0.0,,87.0,4.35976403413325,0.9762323626681976,1847.0,6.0,1451.0,1319.0,1319.0
102.0,42302,Forest Plan Temporary Roads,Beaverhead-Deerlodge National Forest All Units (11010200),R1,BDNF,Beaverhead-Deerlodge National Forest All Units (11010200),Complete,09/11/2014,2014.0,42205.0,Explanation Supporting Not including Temp Roads in OMRTDs,2013-09-09,2013.0,2014-09-12,2014.0,Glossa,Melany,Forest Supervisor,ROD,None,Not Subject to Regulations,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,368.0,,,10200.0,1.0,National Forest/Grassland,Northern,Beaverhead-Deerlodge,2014.0,2013.0,2.0,0.421748382157602,275118.977122592,275118.977122592,0.033672635943165,2014-09-12,1.0,2018-06-15,2018-06-15,0.0,1.0,2018-06-15,2018-06-15,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,0.0,0.0,10.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Certification of Natural Regeneration without Site Prep,Certification of Natural Regeneration without Site Prep,,,,10.0,,,,,,1.0,-0.0,,1.0,-0.0,,1740.0,5.0,1372.0,1372.0,1372.0
102.0,39130,Bogus Basin Personal Use Post and Pole Area,Madison Ranger District (11010206),R1,BDNF,Madison Ranger District (11010206),Complete,04/25/2012,2012.0,34856.0,Bogus Basin Personal Use Post and Pole Area,2010-12-16,2011.0,2012-04-26,2012.0,Watschke,Darin,District Ranger,DM,215,215,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,497.0,,,10206.0,1.0,Ranger District/Mgt Unit,Northern,Beaverhead-Deerlodge,2012.0,2010.0,4.0,0.380901236574592,1467321.89026683,1385099.65696558,0.0268260153903153,2012-04-26,1.0,2015-07-21,2016-05-18,302.0,1.0,2015-07-06,2016-05-18,2015.0,2016.0,2012.0,2016.0,2015.0,2016.0,4.0,-79.275,407.1,90.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,Jackpot Burning - Scattered concentrations,Invasives - Pesticide Application,25.0,332.1,,,,,,,,2.0,0.5623351446188083,0.8112781244591328,2.0,0.5623351446188083,0.8112781244591328,1980.0,5.0,1483.0,1181.0,1166.0
102.0,50836,Ruby River Winter Habitat Improvement Project,Beaverhead-Deerlodge National Forest All Units (11010200),R1,BDNF,Beaverhead-Deerlodge National Forest All Units (11010200),Complete,01/13/2017,2017.0,50201.0,Ruby River Winter Habitat Improvement Project,2017-01-13,2017.0,2018-03-30,2018.0,Olson,Dale,District Ranger,DM,,Not Subject to Regulations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,441.0,,,10200.0,1.0,National Forest/Grassland,Northern,Beaverhead-Deerlodge,2018.0,2017.0,6.0,1.67063052000393,2943573.46898159,810145.38451975,0.112159475891639,2018-03-30,1.0,2019-03-27,2022-02-18,1059.0,0.7545454545454545,2019-03-27,2022-02-18,2019.0,2022.0,2019.0,2023.0,2019.0,2022.0,4.0,3.816867469879518,997.0,1048.8000000000002,110.0,104.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,"Piling of Fuels, Hand or Machine ",Tree Encroachment Control,8.598076923076928,23.5,,13.95,,,,,,3.0,0.2464064992805779,0.2242888613409796,5.0,0.2066208751026061,0.1283807679105275,1862.0,6.0,1421.0,362.0,362.0
102.0,38976,Roadside Hazard Tree Removal #6,Madison Ranger District (11010206),R1,BDNF,Madison Ranger District (11010206),Complete,04/09/2012,2012.0,39678.0,Roadside Hazard Tree Removal #6,2013-04-17,2013.0,2013-11-22,2014.0,Harris,Ken,District Ranger,DM,215,215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,219.0,,,10206.0,1.0,Ranger District/Mgt Unit,Northern,Beaverhead-Deerlodge,2013.0,2013.0,14.0,2.51439980008537,7039646.30129098,856689.86127119,0.159471610235298,2013-11-22,1.0,2014-01-31,2021-11-01,2831.0,0.9223300970873788,2014-01-15,2021-11-01,2014.0,2022.0,2014.0,2022.0,2014.0,2022.0,8.0,-0.4105263157894737,1538.0,1300.0,103.0,53.0,0.0,5.0,34.0,11.0,0.0,0.0,0.0,0.0,4.0,0.1789473684210526,0.7894736842105263,"Piling of Fuels, Hand or Machine ","Piling of Fuels, Hand or Machine ",13.452830188679243,,13.2,18.029411764705884,13.272727272727272,,,,,4.0,1.0935079511600772,0.788799249155647,12.0,2.377224929694536,0.9566656879836304,3120.0,9.0,2901.0,70.0,54.0
102.0,51022,Red Rocks Vegetation Project,Butte Ranger District (11010204),R1,BDNF,Butte Ranger District (11010204),Complete,01/31/2017,2017.0,52246.0,Red Rocks Vegetation Project,2017-03-16,2017.0,2019-08-27,2019.0,Ford,Cheri,Forest Supervisor,DN,,218 (2013) Non HFRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,894.0,,,10204.0,1.0,Ranger District/Mgt Unit,Northern,Beaverhead-Deerlodge,2019.0,2017.0,17.0,2.51755446987063,130274844.802723,23320481.4878748,0.13473552693487,2019-08-27,1.0,2020-10-20,2022-05-04,561.0,0.2197802197802197,2020-01-07,2022-05-04,2020.0,2022.0,2020.0,2045.0,2021.0,2022.0,25.0,0.0,20130.7,8888.7,819.0,492.0,2.0,0.0,234.0,88.0,3.0,0.0,0.0,0.0,5.0,0.0020283975659229,0.7388888888888889,Jackpot Burning - Scattered concentrations,Burning of Piled Material,23.166260162601628,2.0,,36.5508547008547,1.9659090909090908,1.0,,,,5.0,0.938994413023858,0.58343003216802,135.0,4.762539105269727,0.9709015947901408,1875.0,28.0,981.0,420.0,133.0
102.0,50467,Roadside Hazard Tree Removal #9,Wisdom Ranger District (11010203),R1,BDNF,Wisdom Ranger District (11010203),Complete,10/07/2016,2017.0,50030.0,Roadside Hazard Tree Removal #9,2016-11-14,2017.0,2018-07-31,2018.0,Glossa,Melany,Forest Supervisor,DM,,Not Subject to Regulations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,624.0,,,10203.0,1.0,Ranger District/Mgt Unit,Northern,Beaverhead-Deerlodge,2018.0,2016.0,9.0,2.19722457733622,11490094.1992484,1276677.13324982,0.135155633787345,2018-07-31,1.0,2018-08-06,2021-06-30,1059.0,0.4444444444444444,2018-08-06,2019-04-15,2018.0,2019.0,2018.0,2023.0,2018.0,2021.0,5.0,0.0,2193.6000000000004,1903.3,45.0,25.0,0.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.75,Burning of Piled Material,Stand Diagnosis Prepared,45.892,,,63.01999999999999,20.2,,,,,3.0,0.936888307539016,0.8527924884900403,5.0,1.6094379124341005,1.0000000000000002,1689.0,6.0,1065.0,6.0,6.0
102.0,45691,Blacktail Headwaters Project,Butte Ranger District (11010204),R1,BDNF,Butte Ranger District (11010204),Complete,10/21/2014,2015.0,42905.0,Blacktail Headwaters Project,2014-09-26,2014.0,2015-05-26,2015.0,Sabo,David,District Ranger,DM,None,Not Subject to Regulations,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,242.0,,,10204.0,1.0,Ranger District/Mgt Unit,Northern,Beaverhead-Deerlodge,2015.0,2014.0,5.0,1.19199788918288,1614966.62645161,1112687.25843487,0.0833866732692967,2015-05-26,1.0,2015-09-25,2021-05-17,2061.0,1.0,2015-09-25,2021-05-17,2015.0,2021.0,2015.0,2021.0,2015.0,2021.0,6.0,0.0,399.0,399.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1904761904761904,0.1904761904761904,Rearrangement of Fuels,Thinning for Hazardous Fuels Reduction,19.0,,,,,,,,,1.0,-0.0,,1.0,-0.0,,2425.0,7.0,2183.0,122.0,122.0
102.0,39358,Smart Creek Minerals Exploration #2,Pintler Ranger District (11010208),R1,BDNF,Pintler Ranger District (11010208),Complete,05/23/2012,2012.0,39982.0,Smart Creek Exploration Project,2011-05-23,2011.0,2011-08-30,2011.0,Bucha,Charlene,District Ranger,DM,251,215,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,99.0,,,10208.0,1.0,Ranger District/Mgt Unit,Northern,Beaverhead-Deerlodge,2011.0,2011.0,1.0,0.0,40762.1775933116,40762.1775933116,0.0,2011-08-30,1.0,2017-07-26,2017-07-26,0.0,1.0,2017-07-26,2017-07-26,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,0.0,-8.6,10.1,1.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Invasives - Pesticide Application,Invasives - Pesticide Application,,10.1,,,,,,,,1.0,-0.0,,1.0,-0.0,,2256.0,6.0,2157.0,2157.0,2157.0
102.0,59216,Goldstone Fire Whitebark Pine Planting,Dillon Ranger District (11010201),R1,BDNF,Dillon Ranger District (11010201),Complete,12/28/2020,2021.0,54847.0,Goldstone Fire Whitebark Pine Planting,2020-12-29,2021.0,2021-02-16,2021.0,Tripp,Jamie,District Ranger,DM,,Not Subject to Regulations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,49.0,,,10201.0,1.0,Ranger District/Mgt Unit,Northern,Beaverhead-Deerlodge,2021.0,2020.0,1.0,0.0,533331.416583996,533331.416583996,0.0,2021-02-16,1.0,2021-06-17,2021-06-17,0.0,1.0,2021-04-01,2021-04-01,2021.0,2021.0,2021.0,2021.0,2021.0,2021.0,0.0,0.0,132.0,132.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Plant Trees,Plant Trees,,,,132.0,,,,,,1.0,-0.0,,1.0,-0.0,,170.0,0.0,121.0,121.0,44.0
102.0,34193,"Insecticide Application in Recreation Sites Project, 2011",Madison Ranger District (11010206),R1,BDNF,Madison Ranger District (11010206),Complete,11/01/2010,2011.0,31684.0,Insecticide Applicatoin in Recreation Sites Project,2011-04-15,2011.0,2011-06-02,2011.0,Myers,Dave,Forest Supervisor,DM,None,Not Subject to Regulations,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,48.0,,,10206.0,1.0,Ranger District/Mgt Unit,Northern,Beaverhead-Deerlodge,2011.0,2011.0,2.0,0.0324176763824253,113767809.033765,31497528.310839,0.0017476147064336,2011-06-02,1.0,2011-07-06,2021-05-20,3606.0,0.9938366718027736,2011-07-06,2021-05-20,2011.0,2021.0,2011.0,2021.0,2011.0,2021.0,10.0,-2.4868217054263564,4403.5,2792.5,649.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649.0,0.0,1.0,0.0031007751937984,0.0031007751937984,Insect Control,Insect Control,,,,,,,,6.785053929121726,,1.0,-0.0,,21.0,2.652213747758468,0.8711427824922492,3688.0,10.0,3640.0,34.0,34.0
102.0,34196,Black Mountain  Aspen and Mountain Mahogany Release,Dillon Ranger District (11010201),R1,BDNF,Dillon Ranger District (11010201),Complete,11/01/2010,2011.0,33964.0,Black Mountain Aspen and Mahogany Release Project,2010-12-17,2011.0,2012-01-24,2012.0,Hudson,Cornie,District Ranger,DM,215,215,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,403.0,,,10201.0,1.0,Ranger District/Mgt Unit,Northern,Beaverhead-Deerlodge,2012.0,2010.0,3.0,1.04195553546911,3516636.87467228,1315877.47400114,0.0691272111131203,2012-01-24,1.0,2013-09-18,2015-11-19,792.0,0.9148936170212766,2013-09-18,2015-11-19,2013.0,2016.0,2013.0,2016.0,2013.0,2016.0,3.0,0.0,869.0,800.0,47.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Burning of Piled Material,Rearrangement of Fuels,18.48936170212766,,,,,,,,,1.0,-0.0,,1.0,-0.0,,1798.0,5.0,1395.0,603.0,603.0
102.0,32443,Red Rock Research Plantation Tree Removal and Carbaryl Spraying,Jefferson Ranger District (11010207),R1,BDNF,Jefferson Ranger District (11010207),Complete,03/31/2010,2010.0,28992.0,"Red Rock Research Plot Thinning, Carbaryl Spraying, and Road Reconstruction",2010-04-09,2010.0,2010-07-09,2010.0,Krivacek,Janet,District Ranger,DM,None,Not Subject to Regulations,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,91.0,,,10207.0,1.0,Ranger District/Mgt Unit,Northern,Beaverhead-Deerlodge,2010.0,2010.0,1.0,0.0,49067.5216462836,49067.5216462836,0.0,2010-07-09,1.0,2010-08-27,2010-08-27,0.0,1.0,2010-08-27,2010-08-27,2010.0,2010.0,2010.0,2010.0,2010.0,2010.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Insect Control,Insect Control,,,,,,,,1.0,,1.0,-0.0,,0.0,0.0,-0.0,140.0,0.0,49.0,49.0,49.0
102.0,46315,Eureka Fire Whitebark Pine Planting Project,Madison Ranger District (11010206),R1,BDNF,Madison Ranger District (11010206),Complete,02/23/2015,2015.0,42695.0,Eureka Fire Whitebark Pine Planting,2015-02-20,2015.0,2015-04-10,2015.0,Olson,Dale,District Ranger,DM,None,Not Subject to Regulations,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,49.0,,,10206.0,1.0,Ranger District/Mgt Unit,Northern,Beaverhead-Deerlodge,2015.0,2015.0,8.0,1.05883259678597,33790621.6465258,27622719.4983212,0.0610781780982616,2015-04-10,1.0,2016-06-05,2019-07-23,1143.0,0.9473684210526316,2016-03-28,2019-07-23,2016.0,2019.0,2016.0,2027.0,2016.0,2019.0,11.0,0.0,8047.1,7872.1,19.0,3.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Plant Trees,Vegetative Competition Survey,2044.0,,,119.69375,,,,,,2.0,0.4361623253853443,0.6292492238560347,0.0,0.0,-0.0,1614.0,12.0,1565.0,422.0,353.0
102.0,54994,Rancho Deluxe Vegetation Project,Pintler Ranger District (11010208),R1,BDNF,Pintler Ranger District (11010208),Complete,03/13/2019,2019.0,55145.0,Rancho Deluxe Vegetation Project,2019-03-13,2019.0,2021-05-07,2021.0,Rasor,Cameron,District Ranger,DM,,Not Subject to Regulations,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,786.0,,,10208.0,1.0,Ranger District/Mgt Unit,Northern,Beaverhead-Deerlodge,2021.0,2019.0,10.0,2.26757031261576,38288959.6236188,4296381.55301594,0.129867297940244,2021-05-07,1.0,,,,0.0,2021-07-23,2021-07-23,2021.0,2021.0,2021.0,2026.0,,,5.0,0.0,5412.0,4290.0,203.0,145.0,0.0,0.0,29.0,29.0,0.0,0.0,0.0,0.0,3.0,0.0,,"Piling of Fuels, Hand or Machine ","Salvage Cut (intermediate treatment, not regeneration)",29.606896551724137,,,36.48275862068966,2.103448275862069,,,,,3.0,0.796311640173813,0.7248340915057598,29.0,3.367295829986472,0.9999999999999992,,7.0,,,77.0
102.0,32445,"Developed Site Carbaryl, MCH, Verbenon applications on lodgepole and Douglas fir trees",Beaverhead-Deerlodge National Forest All Units (11010200),R1,BDNF,Beaverhead-Deerlodge National Forest All Units (11010200),Complete,03/31/2010,2010.0,28675.0,Beaverhead-Deerlodge NF Insecticide Application in Recreation Sites Project,2010-04-09,2010.0,2010-05-25,2010.0,Myers,Dave,Forest Supervisor,DM,None,Not Subject to Regulations,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,46.0,,,10200.0,1.0,National Forest/Grassland,Northern,Beaverhead-Deerlodge,2010.0,2010.0,1.0,0.0,77325747.8807306,26134879.3620536,0.0,2010-05-25,1.0,2010-05-26,2018-05-10,2906.0,0.95873786407767,2010-05-26,2018-05-10,2010.0,2018.0,2010.0,2019.0,2010.0,2018.0,9.0,-1.8227848101265824,3177.9,2407.9,412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.0,0.0,1.0,0.0,0.0151898734177215,Insect Control,Insect Control,,,,,,,,7.713349514563107,,1.0,-0.0,,15.0,2.4081265986574105,0.8892473993566563,2953.0,9.0,2907.0,1.0,1.0
102.0,27501,Roadside Hazard Tree Removal #3,Jefferson Ranger District (11010207),R1,BDNF,Jefferson Ranger District (11010207),Complete,12/31/2008,2009.0,25140.0,Roadside Hazard Tree Removal #3,2009-06-13,2009.0,2009-08-28,2009.0,Stewart,Earl,Forest Supervisor,DM,215,215,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,76.0,,,10207.0,1.0,Ranger District/Mgt Unit,Northern,Beaverhead-Deerlodge,2009.0,2009.0,12.0,2.35206506372274,21839284.8065783,1616419.13948473,0.139181863418537,2009-08-28,1.0,2009-11-10,2015-11-17,2198.0,0.2577030812324929,2009-11-10,2015-11-17,2010.0,2016.0,2010.0,2018.0,2010.0,2016.0,8.0,0.0862068965517241,4249.8,2208.8,357.0,132.0,71.0,0.0,127.0,27.0,0.0,0.0,0.0,0.0,4.0,0.0862068965517241,0.391304347826087,Stand Silviculture Prescription,Invasives - Pesticide Application,12.703030303030303,1.8732394366197185,,17.22834645669292,9.333333333333334,,,,,4.0,1.2520229514891843,0.9031436515963048,24.0,3.045962785667358,0.9584364986460516,2348.0,9.0,2272.0,74.0,74.0
102.0,28725,Saratoga Precommercial Thinning,Jefferson Ranger District (11010207),R1,BDNF,Jefferson Ranger District (11010207),Complete,04/01/2009,2009.0,29080.0,Saratoga Pre-commercial Thinning Project,2010-04-12,2010.0,2010-07-30,2010.0,Krivacek,Janet,District Ranger,DM,215,215,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,109.0,,,10207.0,1.0,Ranger District/Mgt Unit,Northern,Beaverhead-Deerlodge,2010.0,2010.0,4.0,1.36913129689604,2084269.88932078,693679.515913926,0.094098828940095,2010-07-30,1.0,2011-10-03,2013-06-13,619.0,0.8,2010-09-24,2013-09-12,2010.0,2013.0,2010.0,2013.0,2012.0,2013.0,3.0,-6.8,466.0,432.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,Precommercial Thin,Precommercial Thin,,,,93.2,,,,,,1.0,-0.0,,2.0,0.5004024235381879,0.7219280948873623,1158.0,3.0,1049.0,430.0,56.0
